id,name,games won,loss,win_percentage,field_goal_percentage,three_point_percentage,freethrow_percentage,season,city
5282,Phoenix Suns,42,10,0.808,47.8,36.3,79.1,2020-21,PHX
5237,Golden State Warriors,40,13,0.755,46.7,36.4,76.4,2020-21,GSW
5253,Memphis Grizzlies,37,18,0.673,45.7,33.9,73.7,2020-21,MEM
5256,Miami Heat,34,20,0.63,45.9,37.5,81.5,2020-21,MIA
5220,Chicago Bulls,33,20,0.623,47.8,37.2,81.4,2020-21,CHI
5260,Milwaukee Bucks,34,21,0.618,45.8,36.4,78.2,2020-21,MIL
5224,Cleveland Cavaliers,33,21,0.611,46.4,35.1,75.1,2020-21,CLE
5279,Philadelphia 76ers,32,21,0.604,46.6,35.8,80.9,2020-21,PHI
5299,Utah Jazz,32,21,0.604,47.3,36.4,77.8,2020-21,UTA
5227,Dallas Mavericks,31,23,0.574,45.3,33.5,77,2020-21,DAL
5295,Toronto Raptors,28,23,0.549,44,35.5,75.7,2020-21,TOR
5211,Brooklyn Nets,29,24,0.547,47,35.4,81.6,2020-21,BKN
5230,Denver Nuggets,29,24,0.547,47.2,35.4,78.7,2020-21,DEN
5214,Boston Celtics,30,25,0.545,45,34,81.7,2020-21,BOS
5263,Minnesota Timberwolves,28,25,0.528,44.6,34.7,76.5,2020-21,MIN
5217,Charlotte Hornets,28,26,0.519,45.9,36.3,73.6,2020-21,CHA
5246,LA Clippers,27,28,0.491,45,36,79,2020-21,LAC
5250,Los Angeles Lakers,26,28,0.481,46.4,34.8,72.9,2020-21,LAL
5207,Atlanta Hawks,25,28,0.472,46.6,37.3,80.3,2020-21,ATL
5302,Washington Wizards,24,28,0.462,46.3,32.4,77.6,2020-21,WAS
5269,New York Knicks,24,29,0.453,43.6,35.5,74.7,2020-21,NYK
5266,New Orleans Pelicans,21,32,0.396,44.1,32.9,79,2020-21,NOP
5286,Portland Trail Blazers,21,33,0.389,44.9,35.5,76,2020-21,POR
5292,San Antonio Spurs,20,34,0.37,46.6,35.4,73.8,2020-21,SAS
5289,Sacramento Kings,20,35,0.364,45.4,34.3,75.5,2020-21,SAC
5243,Indiana Pacers,19,36,0.345,45.6,33.3,76.7,2020-21,IND
5273,Oklahoma City Thunder,17,35,0.327,41.8,31.5,76.3,2020-21,OKC
5240,Houston Rockets,15,38,0.283,45.2,34.4,71.8,2020-21,HOU
5233,Detroit Pistons,12,41,0.226,42,32.1,77.7,2020-21,DET
5276,Orlando Magic,12,43,0.218,43.2,32.6,78.7,2020-21,ORL
5260,Milwaukee Bucks,56,17,0.767,47.6,35.5,74.2,2019-20,MIL
5295,Toronto Raptors,53,19,0.736,45.8,37.4,79.6,2019-20,TOR
5250,Los Angeles Lakers,52,19,0.732,48,34.9,72.9,2019-20,LAL
5246,LA Clippers,49,23,0.681,46.6,37.1,79.1,2019-20,LAC
5214,Boston Celtics,48,24,0.667,46.1,36.4,80.1,2019-20,BOS
5230,Denver Nuggets,46,27,0.63,47.3,35.9,77.7,2019-20,DEN
5243,Indiana Pacers,45,28,0.616,47.6,36.3,78.7,2019-20,IND
5240,Houston Rockets,44,28,0.611,45.1,34.5,79.1,2019-20,HOU
5273,Oklahoma City Thunder,44,28,0.611,46.8,35.5,79.6,2019-20,OKC
5299,Utah Jazz,44,28,0.611,47.1,38,77.9,2019-20,UTA
5256,Miami Heat,44,29,0.603,46.8,37.9,78.3,2019-20,MIA
5279,Philadelphia 76ers,43,30,0.589,46.8,36.8,75.5,2019-20,PHI
5227,Dallas Mavericks,43,32,0.573,46.1,36.7,77.9,2019-20,DAL
5211,Brooklyn Nets,35,37,0.486,44.8,34.3,74.5,2019-20,BKN
5286,Portland Trail Blazers,35,39,0.473,46.3,37.7,80.4,2019-20,POR
5253,Memphis Grizzlies,34,39,0.466,46.8,34.7,76.3,2019-20,MEM
5282,Phoenix Suns,34,39,0.466,46.8,35.8,83.4,2019-20,PHX
5276,Orlando Magic,33,40,0.452,44.4,34.3,77.4,2019-20,ORL
5292,San Antonio Spurs,32,39,0.451,47.2,37.6,81,2019-20,SAS
5289,Sacramento Kings,31,41,0.431,46.2,36.4,77,2019-20,SAC
5266,New Orleans Pelicans,30,42,0.417,46.5,37,72.9,2019-20,NOP
5217,Charlotte Hornets,23,42,0.354,43.4,35.2,74.8,2019-20,CHA
5302,Washington Wizards,25,47,0.347,45.7,36.8,78.8,2019-20,WAS
5220,Chicago Bulls,22,43,0.338,44.7,34.8,75.5,2019-20,CHI
5269,New York Knicks,21,45,0.318,44.7,33.7,69.4,2019-20,NYK
5233,Detroit Pistons,20,46,0.303,45.9,36.7,74.3,2019-20,DET
5207,Atlanta Hawks,20,47,0.299,44.9,33.3,79,2019-20,ATL
5263,Minnesota Timberwolves,19,45,0.297,44.1,33.6,75.3,2019-20,MIN
5224,Cleveland Cavaliers,19,46,0.292,45.8,35.1,75.8,2019-20,CLE
5237,Golden State Warriors,15,50,0.231,43.8,33.4,80.3,2019-20,GSW
